Term,Home Ownership,Number of Credit Problems,Credit Score
1,1,0,715.0
1,1,0,733.0
0,3,0,306.0
1,2,1,724.0
0,1,1,702.0
1,3,0,710.0
1,1,0,747.0
1,1,0,723.0
0,1,0,488.0
1,2,0,738.0
0,3,1,359.0
1,3,0,739.0
1,1,0,728.0
1,3,0,724.0
1,3,0,721.0
1,1,0,747.0
0,1,0,460.0
0,2,0,718.0
0,3,0,722.0
1,1,0,732.0
1,3,1,722.0
0,1,0,338.0
1,3,0,429.0
1,3,0,721.0
0,1,0,725.0
1,3,0,733.0
0,1,1,702.0
1,1,0,738.0
1,3,0,500.0
1,1,1,742.0
1,3,0,701.0
1,3,0,728.0
1,1,0,751.0
1,1,0,327.0
1,3,0,327.0
0,2,0,396.0
0,2,0,342.0
1,1,0,741.0
1,1,0,739.0
1,3,0,702.0
0,1,1,678.0
1,3,0,425.0
1,3,0,303.0
1,3,0,738.0
1,1,0,709.0
1,3,0,724.0
1,3,1,730.0
1,2,0,318.0
1,3,0,722.0
1,3,0,702.0
1,3,0,707.0
1,3,0,367.0
0,1,1,725.0
1,3,0,702.0
0,2,0,689.0
1,3,0,444.0
1,3,1,393.0
1,1,0,722.0
1,3,0,739.0
0,2,0,718.0
1,3,0,457.0
0,1,0,482.0
0,1,0,728.0
1,3,0,324.0
1,1,0,726.0
1,1,0,718.0
1,3,0,702.0
1,1,0,475.0
1,1,1,738.0
1,3,1,717.0
1,3,0,482.0
1,1,0,719.0
1,3,0,684.0
1,1,0,417.0
1,3,1,702.0
1,3,0,749.0
1,3,0,745.0
1,3,0,314.0
0,1,0,326.0
1,2,1,728.0
0,1,0,736.0
0,1,0,683.0
1,3,0,732.0
1,1,0,724.0
1,3,0,465.0
1,3,0,706.0
1,1,0,715.0
0,1,0,746.0
0,3,0,435.0
1,3,0,443.0
0,3,0,695.0
0,3,0,419.0
1,2,0,736.0
1,1,0,722.0
1,2,0,370.0
0,3,0,686.0
1,2,1,393.0
0,1,0,714.0
0,1,0,709.0
1,2,0,734.0
0,3,0,699.0
1,1,0,393.0
1,1,0,702.0
1,3,0,491.0
1,1,0,388.0
1,3,0,744.0
0,3,0,374.0
1,1,1,735.0
1,1,1,481.0
1,3,0,723.0
1,1,0,715.0
0,3,0,727.0
1,3,0,746.0
0,3,0,686.0
1,1,0,743.0
1,1,0,737.0
1,3,0,450.0
1,1,0,692.0
1,3,0,733.0
0,3,0,684.0
0,3,0,654.0
1,1,0,750.0
1,1,0,747.0
1,2,0,745.0
1,3,0,498.0
1,3,0,319.0
0,1,1,374.0
1,1,0,747.0
1,3,0,751.0
0,1,0,706.0
1,3,0,702.0
0,1,0,623.0
1,3,0,738.0
1,3,0,733.0
1,3,0,702.0
1,3,0,342.0
1,3,1,702.0
0,1,1,742.0
0,1,0,405.0
0,1,0,745.0
1,3,0,702.0
1,1,0,697.0
1,1,0,747.0
1,1,0,319.0
0,1,0,725.0
1,1,0,702.0
0,1,0,721.0
1,1,0,746.0
1,1,0,426.0
1,2,0,413.0
1,3,0,735.0
1,3,0,374.0
1,2,1,704.0
1,3,0,724.0
1,1,0,707.0
1,1,0,383.0
1,3,0,705.0
0,1,0,467.0
0,1,0,559.0
1,3,0,702.0
1,1,0,432.0
0,1,0,694.0
0,1,1,719.0
0,1,0,389.0
1,3,0,737.0
0,1,0,733.0
1,3,0,476.0
1,3,0,737.0
1,1,0,745.0
1,3,1,733.0
1,1,1,722.0
1,1,0,746.0
1,2,0,312.0
1,3,0,472.0
0,3,0,469.0
1,3,0,710.0
1,1,1,715.0
0,1,0,723.0
1,1,0,711.0
1,2,0,747.0
1,1,0,746.0
0,1,1,331.0
1,1,0,718.0
1,1,0,751.0
0,1,0,732.0
1,3,0,741.0
0,3,0,702.0
0,1,0,703.0
1,1,1,678.0
1,1,1,731.0
1,2,0,716.0
0,1,0,408.0
0,1,0,723.0
1,2,0,729.0
0,3,1,698.0
1,1,0,702.0
1,2,0,702.0
0,1,0,334.0
1,1,0,722.0
1,3,0,699.0
1,1,0,489.0
1,3,0,565.0
1,3,1,702.0
1,3,0,316.0
0,1,0,702.0
0,1,0,702.0
0,1,0,375.0
1,1,0,751.0
0,1,0,702.0
1,3,0,702.0
1,1,0,446.0
1,1,0,702.0
1,3,0,717.0
1,3,0,702.0
1,1,0,741.0
1,1,0,702.0
1,1,0,499.0
0,1,0,741.0
0,1,0,667.0
1,3,0,716.0
1,3,0,695.0
0,1,0,328.0
1,1,0,448.0
1,3,0,742.0
1,3,0,702.0
1,3,0,737.0
0,3,0,472.0
0,3,0,300.0
1,1,0,675.0
1,1,1,702.0
1,1,0,471.0
1,3,0,702.0
0,3,1,699.0
1,3,0,735.0
0,1,0,581.0
1,3,0,702.0
1,1,0,460.0
0,2,0,320.0
0,3,0,701.0
1,2,1,743.0
1,1,0,743.0
1,3,0,750.0
0,1,0,365.0
1,3,0,311.0
1,1,0,702.0
1,3,0,735.0
0,1,0,309.0
1,3,0,702.0
0,3,0,365.0
0,3,0,335.0
1,3,0,499.0
0,1,0,393.0
0,1,1,659.0
1,1,0,422.0
1,1,0,467.0
0,1,0,458.0
1,1,0,748.0
1,1,1,702.0
0,2,0,683.0
0,1,0,319.0
1,1,0,720.0
1,1,0,710.0
0,1,0,716.0
1,1,0,716.0
1,3,0,747.0
1,1,0,704.0
1,1,0,745.0
0,2,0,689.0
0,2,0,702.0
1,3,0,494.0
1,1,0,712.0
1,1,0,490.0
0,3,0,698.0
1,3,0,681.0
0,3,0,719.0
1,3,0,702.0
1,1,0,702.0
1,3,0,486.0
1,3,0,748.0
1,1,0,743.0
